date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-21","MTL@TBL","TBL","1","08:40","ES","Brandon Hagel","Jake Guentzel","Erik Cernak"
"2026-04-21","MTL@TBL","MTL","1","16:11","PP","Lane Hutson","Nick Suzuki","Cole Caufield"
"2026-04-21","MTL@TBL","MTL","2","18:36","ES","Josh Anderson","Phillip Danault","Jake Evans"
"2026-04-21","MTL@TBL","TBL","3","12:33","ES","Nikita Kucherov","Anthony Cirelli","Brandon Hagel"
"2026-04-21","MTL@TBL","TBL","4","12:48","OT","J.J. Moser","Anthony Cirelli",""
"2026-04-21","BOS@BUF","BOS","2","04:54","ES","Viktor Arvidsson","Jonathan Aspirot","Casey Mittelstadt"
"2026-04-21","BOS@BUF","BOS","2","16:29","ES","Morgan Geekie","David Pastrnak","Sean Kuraly"
"2026-04-21","BOS@BUF","BOS","2","18:10","PP","Pavel Zacha","David Pastrnak","Charlie McAvoy"
"2026-04-21","BOS@BUF","BOS","3","00:16","ES","Viktor Arvidsson","Casey Mittelstadt","Jonathan Aspirot"
"2026-04-21","BOS@BUF","BUF","3","13:54","ES","Bowen Byram","Beck Malenstyn","Owen Power"
"2026-04-21","BOS@BUF","BUF","3","15:08","PP","Peyton Krebs","Rasmus Dahlin","Alex Tuch"
"2026-04-21","UTA@VGK","VGK","1","11:42","PP","Mark Stone","Jack Eichel","Mitch Marner"
"2026-04-21","UTA@VGK","UTA","1","16:59","ES","MacKenzie Weegar","unassisted",""
"2026-04-21","UTA@VGK","UTA","2","14:56","ES","Dylan Guenther","Kailer Yamamoto",""
"2026-04-21","UTA@VGK","VGK","2","15:58","ES","Ivan Barbashev","Jack Eichel",""
"2026-04-21","UTA@VGK","UTA","3","14:00","ES","Logan Cooley","Dylan Guenther","Kailer Yamamoto"
"2026-04-21","LAK@COL","LAK","3","13:04","PP","Artemi Panarin","Trevor Moore","Quinton Byfield"
"2026-04-21","LAK@COL","COL","3","16:25","ES","Gabriel Landeskog","Martin Necas","Devon Toews"
"2026-04-21","LAK@COL","COL","4","07:44","OT","Nicolas Roy","Josh Manson","Nazem Kadri"
