date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-23","BUF@BOS","BOS","2","03:26","ES","Tanner Jeannot","Charlie McAvoy",""
"2026-04-23","BUF@BOS","BUF","2","10:58","ES","Bowen Byram","Noah Ostlund","Owen Power"
"2026-04-23","BUF@BOS","BUF","3","04:03","ES","Alex Tuch","Peyton Krebs","Bowen Byram"
"2026-04-23","BUF@BOS","BUF","3","18:36","EN","Noah Ostlund","Jack Quinn",""
"2026-04-23","CAR@OTT","CAR","1","05:13","ES","Logan Stankoven","Taylor Hall","Eric Robinson"
"2026-04-23","CAR@OTT","OTT","2","16:06","ES","Drake Batherson","Nick Cousins",""
"2026-04-23","CAR@OTT","CAR","2","17:29","ES","Jackson Blake","K'Andre Miller","Taylor Hall"
"2026-04-23","COL@LAK","COL","1","05:29","ES","Gabriel Landeskog","Nicolas Roy","Josh Manson"
"2026-04-23","COL@LAK","LAK","2","05:55","ES","Trevor Moore","Quinton Byfield","Alex Laferriere"
"2026-04-23","COL@LAK","COL","2","12:12","ES","Cale Makar","Devon Toews","Artturi Lehkonen"
"2026-04-23","COL@LAK","COL","3","07:39","SH","Artturi Lehkonen","unassisted",""
"2026-04-23","COL@LAK","LAK","3","15:57","PP","Adrian Kempe","Artemi Panarin","Alex Laferriere"
"2026-04-23","COL@LAK","COL","3","17:42","EN","Brock Nelson","unassisted",""
