date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-19","LAK@COL","COL","2","15:29","ES","Artturi Lehkonen","Nathan MacKinnon",""
"2026-04-19","LAK@COL","COL","3","05:50","ES","Logan O'Connor","Jack Drury",""
"2026-04-19","LAK@COL","LAK","3","17:38","PP","Artemi Panarin","Alex Laferriere","Brandt Clarke"
"2026-04-19","MTL@TBL","MTL","1","13:24","ES","Josh Anderson","Alexandre Carrier","Mike Matheson"
"2026-04-19","MTL@TBL","TBL","2","12:15","PP","Darren Raddysh","Nikita Kucherov","Jake Guentzel"
"2026-04-19","MTL@TBL","TBL","2","12:44","ES","Brandon Hagel","Jake Guentzel","Ryan McDonagh"
"2026-04-19","MTL@TBL","MTL","2","19:36","PP","Juraj Slafkovský","Ivan Demidov","Cole Caufield"
"2026-04-19","MTL@TBL","MTL","3","05:56","PP","Juraj Slafkovský","Cole Caufield","Nick Suzuki"
"2026-04-19","MTL@TBL","TBL","3","08:58","PP","Brandon Hagel","Jake Guentzel","Nikita Kucherov"
"2026-04-19","MTL@TBL","MTL","4","01:22","OT","Juraj Slafkovský","Lane Hutson","Nick Suzuki"
"2026-04-19","BOS@BUF","BOS","1","10:52","ES","Morgan Geekie","David Pastrnak","Nikita Zadorov"
"2026-04-19","BOS@BUF","BOS","3","01:08","ES","Elias Lindholm","Morgan Geekie","David Pastrnak"
"2026-04-19","BOS@BUF","BUF","3","12:02","ES","Tage Thompson","Peyton Krebs",""
"2026-04-19","BOS@BUF","BUF","3","15:44","ES","Tage Thompson","Alex Tuch",""
"2026-04-19","BOS@BUF","BUF","3","16:36","ES","Mattias Samuelsson","Jack Quinn",""
"2026-04-19","BOS@BUF","BUF","3","18:48","EN","Alex Tuch","Tage Thompson","Owen Power"
"2026-04-19","BOS@BUF","BOS","3","19:52","PP","David Pastrnak","Pavel Zacha","Morgan Geekie"
"2026-04-19","UTA@VGK","UTA","1","19:49","ES","Logan Cooley","Nate Schmidt","Lawson Crouse"
"2026-04-19","UTA@VGK","VGK","2","03:44","ES","Colton Sissons","Cole Smith","Brayden McNabb"
"2026-04-19","UTA@VGK","UTA","2","05:07","ES","Kevin Stenlund","Sean Durzi","Ian Cole"
"2026-04-19","UTA@VGK","VGK","3","05:33","PP","Mark Stone","Tomas Hertl","Mitch Marner"
"2026-04-19","UTA@VGK","VGK","3","07:20","ES","Nic Dowd","Noah Hanifin","Colton Sissons"
"2026-04-19","UTA@VGK","VGK","3","18:21","EN","Ivan Barbashev","Noah Hanifin",""
