date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-13","DET@TBL","DET","1","05:31","ES","David Perron","J.T. Compher","Ben Chiarot"
"2026-04-13","DET@TBL","TBL","1","17:05","ES","Conor Geekie","Oliver Bjorkstrand",""
"2026-04-13","DET@TBL","TBL","2","15:53","ES","Erik Cernak","Ryan McDonagh","Zemgus Girgensons"
"2026-04-13","DET@TBL","TBL","2","18:03","ES","Jake Guentzel","Nikita Kucherov","J.J. Moser"
"2026-04-13","DET@TBL","DET","3","02:56","ES","Marco Kasper","James van Riemsdyk","Justin Faulk"
"2026-04-13","DET@TBL","DET","3","15:16","ES","Alex DeBrincat","Patrick Kane",""
"2026-04-13","DET@TBL","TBL","4","00:27","OT","Nikita Kucherov","Brayden Point",""
"2026-04-13","NYR@FLA","FLA","1","09:35","ES","Cole Reinhardt","Tobias Bjornfot","Vinnie Hinostroza"
"2026-04-13","NYR@FLA","FLA","1","11:31","ES","Mackie Samoskevich","unassisted",""
"2026-04-13","NYR@FLA","NYR","1","15:19","ES","Matthew Robertson","Noah Laba",""
"2026-04-13","NYR@FLA","NYR","2","17:20","ES","Gabe Perreault","Adam Fox","Alexis Lafrenière"
"2026-04-13","NYR@FLA","FLA","3","18:10","ES","Cole Reinhardt","Luke Kunin","Donovan Sebrango"
"2026-04-13","CAR@PHI","CAR","1","08:41","ES","Bradly Nadeau","Nikolaj Ehlers","Sean Walker"
"2026-04-13","CAR@PHI","CAR","1","15:30","PP","Nikolaj Ehlers","Logan Stankoven","Jackson Blake"
"2026-04-13","CAR@PHI","PHI","2","07:57","ES","Matvei Michkov","Denver Barkey","Noah Cates"
"2026-04-13","CAR@PHI","PHI","2","10:30","PP","Trevor Zegras","Porter Martone","Tyson Foerster"
"2026-04-13","CAR@PHI","PHI","5","00:00","PP","Tyson Foerster","unassisted",""
"2026-04-13","DAL@TOR","TOR","1","02:14","PP","John Tavares","William Nylander",""
"2026-04-13","DAL@TOR","TOR","1","14:35","ES","Jacob Quillan","Steven Lorentz",""
"2026-04-13","DAL@TOR","TOR","1","15:51","ES","William Nylander","Jake McCabe","Simon Benoit"
"2026-04-13","DAL@TOR","DAL","2","00:52","ES","Mavrik Bourque","unassisted",""
"2026-04-13","DAL@TOR","DAL","2","05:31","ES","Mavrik Bourque","Jason Robertson","Matt Duchene"
"2026-04-13","DAL@TOR","DAL","2","09:29","ES","Jason Robertson","Matt Duchene","Mavrik Bourque"
"2026-04-13","DAL@TOR","TOR","3","01:40","ES","Max Domi","William Nylander","Matthew Knies"
"2026-04-13","DAL@TOR","TOR","3","04:19","ES","Nicholas Robertson","Troy Stecher","Matthew Knies"
"2026-04-13","DAL@TOR","DAL","3","08:18","PP","Wyatt Johnston","Mikko Rantanen","Thomas Harley"
"2026-04-13","DAL@TOR","DAL","3","09:38","ES","Arttu Hyry","unassisted",""
"2026-04-13","DAL@TOR","DAL","3","14:52","ES","Mavrik Bourque","Matt Duchene","Alexander Petrovic"
"2026-04-13","MIN@STL","STL","1","01:22","ES","Colton Parayko","Robert Thomas","Jimmy Snuggerud"
"2026-04-13","MIN@STL","MIN","1","14:46","ES","Nick Foligno","Yakov Trenin","Daemon Hunt"
"2026-04-13","MIN@STL","MIN","1","19:13","PP","Danila Yurov","Vladimir Tarasenko","Marcus Johansson"
"2026-04-13","MIN@STL","MIN","2","01:59","SH","Michael McCarron","Nick Foligno",""
"2026-04-13","MIN@STL","STL","2","04:04","ES","Otto Stenberg","Tyler Tucker","Alexey Toropchenko"
"2026-04-13","MIN@STL","STL","2","04:31","ES","Pavel Buchnevich","Jordan Kyrou","Cam Fowler"
"2026-04-13","MIN@STL","STL","2","16:41","ES","Theo Lindstein","Jonathan Drouin","Dalibor Dvorsky"
"2026-04-13","MIN@STL","STL","3","03:05","ES","Jake Neighbours","unassisted",""
"2026-04-13","MIN@STL","STL","3","16:56","EN","Jimmy Snuggerud","unassisted",""
"2026-04-13","SJS@NSH","SJS","2","09:53","PP","Igor Chernyshov","William Eklund","Michael Misa"
"2026-04-13","SJS@NSH","SJS","3","03:04","ES","Macklin Celebrini","Igor Chernyshov","Will Smith"
"2026-04-13","SJS@NSH","NSH","3","15:39","ES","Luke Evangelista","Nick Perbix","Ryan Ufko"
"2026-04-13","SJS@NSH","SJS","3","18:15","EN","Macklin Celebrini","Collin Graf","Alexander Wennberg"
"2026-04-13","SJS@NSH","NSH","3","18:50","PP","Luke Evangelista","Ryan Ufko","Roman Josi"
"2026-04-13","BUF@CHI","CHI","1","03:58","SH","Ryan Greene","Ilya Mikheyev",""
"2026-04-13","BUF@CHI","BUF","1","19:02","ES","Josh Norris","Josh Doan",""
"2026-04-13","BUF@CHI","BUF","2","13:00","ES","Tage Thompson","Alex Tuch",""
"2026-04-13","BUF@CHI","BUF","3","05:38","ES","Alex Tuch","Rasmus Dahlin","Logan Stanley"
"2026-04-13","BUF@CHI","BUF","3","11:13","ES","Tage Thompson","Rasmus Dahlin","Jason Zucker"
"2026-04-13","BUF@CHI","BUF","3","18:35","ES","Ryan McLeod","Zach Benson","Owen Power"
"2026-04-13","COL@EDM","COL","2","09:05","ES","Sam Malinski","Nicolas Roy",""
"2026-04-13","COL@EDM","EDM","2","15:49","ES","Connor McDavid","Matt Savoie","Evan Bouchard"
"2026-04-13","COL@EDM","EDM","5","00:00","PP","Connor McDavid","unassisted",""
"2026-04-13","COL@EDM","COL","5","00:00","PP","Valeri Nichushkin","unassisted",""
"2026-04-13","COL@EDM","EDM","5","00:00","PP","Ryan Nugent-Hopkins","unassisted",""
"2026-04-13","COL@EDM","COL","5","00:00","PP","Martin Necas","unassisted",""
"2026-04-13","COL@EDM","COL","5","00:00","PP","Nathan MacKinnon","unassisted",""
"2026-04-13","LAK@SEA","LAK","1","02:43","ES","Quinton Byfield","unassisted",""
"2026-04-13","LAK@SEA","LAK","1","13:19","ES","Quinton Byfield","unassisted",""
"2026-04-13","LAK@SEA","LAK","2","07:13","ES","Trevor Moore","Alex Laferriere",""
"2026-04-13","LAK@SEA","SEA","3","01:53","ES","Adam Larsson","Matty Beniers","Jaden Schwartz"
"2026-04-13","LAK@SEA","SEA","3","08:08","ES","Frederick Gaudreau","Kaapo Kakko",""
"2026-04-13","LAK@SEA","LAK","3","12:29","ES","Adrian Kempe","Anze Kopitar","Trevor Moore"
"2026-04-13","LAK@SEA","SEA","3","17:33","PP","Bobby McMann","Matty Beniers","Chandler Stephenson"
"2026-04-13","LAK@SEA","LAK","3","19:58","EN","Alex Laferriere","Joel Edmundson",""
"2026-04-13","WPG@VGK","VGK","2","07:38","SH","Mark Stone","Jack Eichel",""
"2026-04-13","WPG@VGK","VGK","2","18:54","ES","Reilly Smith","Noah Hanifin","Rasmus Andersson"
"2026-04-13","WPG@VGK","VGK","3","00:31","ES","Ivan Barbashev","Jack Eichel","Noah Hanifin"
"2026-04-13","WPG@VGK","WPG","3","02:34","PP","Gabriel Vilardi","Colin Miller","Mark Scheifele"
"2026-04-13","WPG@VGK","VGK","3","03:37","ES","Rasmus Andersson","Mark Stone","Ivan Barbashev"
"2026-04-13","WPG@VGK","WPG","3","04:41","ES","Mark Scheifele","Kyle Connor","Gabriel Vilardi"
"2026-04-13","WPG@VGK","VGK","3","05:42","PP","Pavel Dorofeyev","Mark Stone","Jack Eichel"
"2026-04-13","WPG@VGK","VGK","3","07:38","PP","Jack Eichel","unassisted",""
