date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-14","NJD@BOS","BOS","1","00:53","ES","Morgan Geekie","David Pastrnak","Fraser Minten"
"2026-04-14","NJD@BOS","BOS","1","06:14","ES","Mark Kastelic","Tanner Jeannot","Sean Kuraly"
"2026-04-14","NJD@BOS","BOS","1","17:42","ES","Mark Kastelic","Sean Kuraly","Mason Lohrei"
"2026-04-14","NJD@BOS","BOS","1","19:52","ES","Viktor Arvidsson","Pavel Zacha","Hampus Lindholm"
"2026-04-14","CAR@NYI","CAR","1","03:05","ES","Nikolaj Ehlers","Felix Unger Sorum","Logan Stankoven"
"2026-04-14","CAR@NYI","NYI","2","13:14","PP","Bo Horvat","Mathew Barzal","Victor Eklund"
"2026-04-14","CAR@NYI","CAR","3","14:38","ES","Mark Jankowski","Joel Nystrom","Alexander Nikishin"
"2026-04-14","MTL@PHI","PHI","1","08:08","PP","Porter Martone","Matvei Michkov","Oliver Bonk"
"2026-04-14","MTL@PHI","PHI","1","14:42","ES","Oliver Bonk","Matvei Michkov","Hunter McDonald"
"2026-04-14","MTL@PHI","MTL","2","06:50","ES","Brendan Gallagher","Kaiden Guhle","Alexandre Texier"
"2026-04-14","MTL@PHI","PHI","2","13:52","ES","Matvei Michkov","unassisted",""
"2026-04-14","MTL@PHI","MTL","2","19:49","ES","Jake Evans","Arber Xhekaj","Joe Veleno"
"2026-04-14","MTL@PHI","PHI","3","12:00","ES","Alex Bump","Porter Martone",""
"2026-04-14","WSH@CBJ","CBJ","2","00:27","ES","Boone Jenner","Mason Marchment","Danton Heinen"
"2026-04-14","WSH@CBJ","WSH","2","10:46","ES","Anthony Beauvillier","Trevor van Riemsdyk",""
"2026-04-14","WSH@CBJ","WSH","3","15:53","PP","Jakob Chychrun","Tom Wilson","Alex Ovechkin"
"2026-04-14","ANA@MIN","ANA","1","10:27","PP","Mason McTavish","Jackson LaCombe","Ryan Poehling"
"2026-04-14","ANA@MIN","MIN","1","16:42","ES","Danila Yurov","Vladimir Tarasenko",""
"2026-04-14","ANA@MIN","MIN","2","11:24","ES","Hunter Haight","Nick Foligno","Marcus Johansson"
"2026-04-14","ANA@MIN","MIN","3","13:03","ES","Robby Fabbri","Nicolas Aube-Kubel","Ben Jones"
"2026-04-14","ANA@MIN","ANA","3","19:14","PP","Mason McTavish","Mikael Granlund","Cutter Gauthier"
"2026-04-14","WPG@UTA","UTA","1","08:05","ES","Logan Cooley","Nate Schmidt",""
"2026-04-14","WPG@UTA","UTA","2","04:54","PP","Nick Schmaltz","Mikhail Sergachev","Dylan Guenther"
"2026-04-14","WPG@UTA","WPG","2","17:09","PP","Kyle Connor","Gabriel Vilardi","Mark Scheifele"
"2026-04-14","WPG@UTA","UTA","3","07:16","PP","Nick Schmaltz","Logan Cooley","Clayton Keller"
"2026-04-14","WPG@UTA","UTA","3","07:42","ES","JJ Peterka","unassisted",""
"2026-04-14","WPG@UTA","WPG","3","12:36","ES","Mark Scheifele","Kyle Connor","Gabriel Vilardi"
"2026-04-14","WPG@UTA","WPG","3","14:23","PP","Isak Rosen","unassisted",""
