date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-14","WPG@UTA","UTA","3","19:36","EN","Alexander Kerfoot","unassisted",""
"2026-04-14","COL@CGY","CGY","2","07:22","ES","Blake Coleman","Mikael Backlund",""
"2026-04-14","COL@CGY","COL","2","11:25","ES","Artturi Lehkonen","Cale Makar","Sam Malinski"
"2026-04-14","COL@CGY","COL","3","15:07","ES","Gabriel Landeskog","Brett Kulak","Cale Makar"
"2026-04-14","COL@CGY","COL","3","19:43","EN","Nathan MacKinnon","Cale Makar","Martin Necas"
"2026-04-14","PIT@STL","PIT","1","10:14","ES","Rutger McGroarty","Kevin Hayes",""
"2026-04-14","PIT@STL","PIT","1","16:40","ES","Avery Hayes","unassisted",""
"2026-04-14","PIT@STL","PIT","1","17:23","ES","Anthony Mantha","Kevin Hayes",""
"2026-04-14","PIT@STL","STL","1","18:44","ES","Jimmy Snuggerud","Robert Thomas",""
"2026-04-14","PIT@STL","PIT","2","02:58","ES","Elmer Soderblom","Ben Kindel","Anthony Mantha"
"2026-04-14","PIT@STL","STL","2","04:51","ES","Oskar Sundqvist","Alexey Toropchenko","Philip Broberg"
"2026-04-14","PIT@STL","STL","2","10:37","ES","Logan Mailloux","Jonathan Drouin","Jake Neighbours"
"2026-04-14","PIT@STL","STL","2","15:49","PP","Jimmy Snuggerud","Jake Neighbours","Dylan Holloway"
"2026-04-14","PIT@STL","STL","3","04:11","ES","Dylan Holloway","Jimmy Snuggerud","Robert Thomas"
"2026-04-14","PIT@STL","STL","3","04:55","ES","Pavel Buchnevich","Jordan Kyrou","Jordan Binnington"
"2026-04-14","PIT@STL","PIT","3","12:20","ES","Avery Hayes","Ryan Shea","Arturs Silovs"
"2026-04-14","PIT@STL","STL","3","18:17","EN","Dylan Holloway","Jimmy Snuggerud","Logan Mailloux"
"2026-04-14","LAK@VAN","VAN","1","09:21","ES","Elias Pettersson","Kirill Kudryavtsev","Marco Rossi"
"2026-04-14","LAK@VAN","LAK","1","17:15","ES","Quinton Byfield","Alex Laferriere","Trevor Moore"
"2026-04-14","LAK@VAN","VAN","2","00:52","PP","Jake DeBrusk","Brock Boeser","Filip Hronek"
"2026-04-14","LAK@VAN","LAK","2","01:04","ES","Adrian Kempe","Anze Kopitar","Artemi Panarin"
"2026-04-14","LAK@VAN","LAK","2","02:17","ES","Alex Laferriere","Drew Doughty","Quinton Byfield"
"2026-04-14","LAK@VAN","VAN","2","09:20","ES","Zeev Buium","Nils Hoglander","Elias Pettersson"
"2026-04-14","LAK@VAN","VAN","4","02:58","OT","Jake DeBrusk","Elias Pettersson","Tom Willander"
