date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-15","DAL@BUF","DAL","1","02:19","ES","Mavrik Bourque","Esa Lindell","Ilya Lyubushkin"
"2026-04-15","DAL@BUF","BUF","1","12:48","ES","Josh Norris","Zach Benson","Owen Power"
"2026-04-15","DAL@BUF","BUF","2","03:32","SH","Zach Benson","Tyson Kozak",""
"2026-04-15","DAL@BUF","DAL","2","04:24","PP","Esa Lindell","Jamie Benn","Justin Hryckowian"
"2026-04-15","DAL@BUF","BUF","2","11:09","ES","Alex Tuch","Tanner Pearson","Owen Power"
"2026-04-15","DAL@BUF","DAL","2","16:00","ES","Justin Hryckowian","unassisted",""
"2026-04-15","DAL@BUF","BUF","5","00:00","PP","Josh Norris","unassisted",""
"2026-04-15","DAL@BUF","DAL","5","00:00","PP","Jason Robertson","unassisted",""
"2026-04-15","DAL@BUF","BUF","5","00:00","PP","Jack Quinn","unassisted",""
"2026-04-15","DAL@BUF","DAL","5","00:00","PP","Matt Duchene","unassisted",""
"2026-04-15","DAL@BUF","DAL","5","00:00","PP","Wyatt Johnston","unassisted",""
"2026-04-15","NYR@TBL","NYR","1","04:02","ES","Tye Kartye","Mika Zibanejad","Vladislav Gavrikov"
"2026-04-15","NYR@TBL","NYR","2","01:29","ES","Tye Kartye","J.T. Miller","Conor Sheary"
"2026-04-15","NYR@TBL","NYR","2","04:49","ES","Gabe Perreault","Will Cuylle","Tye Kartye"
"2026-04-15","NYR@TBL","TBL","2","11:15","ES","Oliver Bjorkstrand","Scott Sabourin","Mitchell Chaffee"
"2026-04-15","NYR@TBL","NYR","2","12:46","PP","Mika Zibanejad","Alexis Lafrenière","J.T. Miller"
"2026-04-15","NYR@TBL","TBL","3","00:51","ES","Corey Perry","Zemgus Girgensons","Emil Lilleberg"
"2026-04-15","DET@FLA","FLA","1","04:57","ES","Vinnie Hinostroza","Wilmer Skoog",""
"2026-04-15","DET@FLA","FLA","2","05:37","ES","Luke Kunin","Matthew Tkachuk","Marek Alscher"
"2026-04-15","DET@FLA","FLA","2","08:56","PP","A.J. Greer","Noah Gregor","Ludvig Jansson"
"2026-04-15","DET@FLA","FLA","2","09:39","ES","Mike Benning","Wilmer Skoog","Eetu Luostarinen"
"2026-04-15","DET@FLA","FLA","2","12:41","ES","Mike Benning","Donovan Sebrango","Mackie Samoskevich"
"2026-04-15","DET@FLA","DET","2","16:12","ES","Justin Faulk","Alex DeBrincat","Ben Chiarot"
"2026-04-15","DET@FLA","FLA","3","08:56","ES","Cole Schwindt","Marek Alscher","Mikulas Hovorka"
"2026-04-15","DET@FLA","FLA","3","09:37","ES","Cole Reinhardt","Luke Kunin","Matthew Tkachuk"
"2026-04-15","DET@FLA","FLA","3","18:12","ES","Luke Kunin","Cole Reinhardt",""
"2026-04-15","TOR@OTT","OTT","1","06:04","PP","Drake Batherson","Claude Giroux","Jordan Spence"
"2026-04-15","TOR@OTT","OTT","2","18:32","PP","Warren Foegele","Lassi Thomson","Fabian Zetterlund"
"2026-04-15","TOR@OTT","TOR","3","08:11","ES","William Nylander","Jacob Quillan","Easton Cowan"
"2026-04-15","TOR@OTT","OTT","3","19:54","EN","Dylan Cozens","Shane Pinto","Claude Giroux"
"2026-04-15","SJS@CHI","SJS","1","08:09","ES","Mario Ferraro","Kiefer Sherwood",""
"2026-04-15","SJS@CHI","SJS","2","05:17","PP","Michael Misa","Dmitry Orlov","Kiefer Sherwood"
"2026-04-15","SJS@CHI","CHI","2","19:30","ES","Sam Rinzel","Ryan Donato",""
"2026-04-15","SJS@CHI","CHI","3","03:51","ES","Louis Crevier","Connor Bedard",""
"2026-04-15","SJS@CHI","CHI","3","08:35","ES","Ryan Greene","Ethan Del Mastro","Andre Burakovsky"
"2026-04-15","SJS@CHI","CHI","3","10:32","ES","Louis Crevier","Tyler Bertuzzi",""
"2026-04-15","SJS@CHI","CHI","3","14:44","ES","Nick Lardis","Connor Bedard","Wyatt Kaiser"
"2026-04-15","SEA@VGK","SEA","2","02:24","ES","Shane Wright","Jani Nyman","Jamie Oleksiak"
"2026-04-15","SEA@VGK","VGK","2","17:35","ES","Shea Theodore","Reilly Smith","Nic Dowd"
"2026-04-15","SEA@VGK","VGK","3","01:23","ES","Mitch Marner","Brayden McNabb","Jack Eichel"
"2026-04-15","SEA@VGK","VGK","3","12:01","ES","Reilly Smith","Rasmus Andersson","Jack Eichel"
"2026-04-15","SEA@VGK","VGK","3","16:36","PP","Reilly Smith","Kaedan Korczak","Tomas Hertl"
