date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-09","TOR@NYI","NYI","1","02:08","PP","Brayden Schenn","Calum Ritchie","Bo Horvat"
"2026-04-09","TOR@NYI","NYI","1","04:55","ES","Jean-Gabriel Pageau","Max Shabanov","Adam Pelech"
"2026-04-09","TOR@NYI","TOR","1","05:11","ES","Steven Lorentz","unassisted",""
"2026-04-09","TOR@NYI","TOR","2","01:57","PP","Easton Cowan","John Tavares","Oliver Ekman-Larsson"
"2026-04-09","TOR@NYI","NYI","2","09:39","ES","Matthew Schaefer","Tony DeAngelo","Ondrej Palat"
"2026-04-09","TOR@NYI","NYI","2","16:44","PP","Emil Heineman","Mathew Barzal","Tony DeAngelo"
"2026-04-09","TOR@NYI","NYI","3","10:20","PP","Calum Ritchie","unassisted",""
"2026-04-09","TOR@NYI","TOR","3","14:04","ES","Morgan Rielly","Matias Maccelli","Luke Haymes"
"2026-04-09","CBJ@BUF","BUF","1","13:41","ES","Peyton Krebs","Josh Norris",""
"2026-04-09","CBJ@BUF","BUF","3","07:19","ES","Josh Doan","unassisted",""
"2026-04-09","CBJ@BUF","BUF","3","13:21","ES","Jack Quinn","Logan Stanley","Jason Zucker"
"2026-04-09","CBJ@BUF","BUF","3","13:46","ES","Josh Doan","Zach Benson","Josh Norris"
"2026-04-09","CBJ@BUF","BUF","3","16:55","EN","Rasmus Dahlin","Logan Stanley","Tyson Kozak"
"2026-04-09","TBL@MTL","MTL","2","06:30","ES","Cole Caufield","Nick Suzuki","Juraj Slafkovský"
"2026-04-09","TBL@MTL","TBL","3","18:09","PP","Darren Raddysh","Nikita Kucherov","Gage Goncalves"
"2026-04-09","TBL@MTL","MTL","3","18:56","ES","Juraj Slafkovský","Nick Suzuki",""
"2026-04-09","FLA@OTT","OTT","1","06:49","PP","Drake Batherson","Jake Sanderson","Brady Tkachuk"
"2026-04-09","FLA@OTT","OTT","1","17:00","ES","Fabian Zetterlund","Lars Eller","Jordan Spence"
"2026-04-09","FLA@OTT","OTT","3","03:03","ES","Artem Zub","Jake Sanderson","Dylan Cozens"
"2026-04-09","FLA@OTT","FLA","3","14:17","ES","Jesper Boqvist","A.J. Greer","Eetu Luostarinen"
"2026-04-09","FLA@OTT","OTT","3","16:43","EN","Claude Giroux","unassisted",""
"2026-04-09","FLA@OTT","OTT","3","17:02","ES","Fabian Zetterlund","unassisted",""
"2026-04-09","PHI@DET","DET","1","02:28","PP","Alex DeBrincat","Lucas Raymond","Moritz Seider"
"2026-04-09","PHI@DET","PHI","1","13:24","ES","Christian Dvorak","Porter Martone","Travis Konecny"
"2026-04-09","PHI@DET","DET","2","00:32","PP","Moritz Seider","Patrick Kane","Dylan Larkin"
"2026-04-09","PHI@DET","DET","2","01:50","PP","Dylan Larkin","Patrick Kane","Moritz Seider"
"2026-04-09","PHI@DET","DET","2","04:56","SH","Dylan Larkin","Albert Johansson",""
"2026-04-09","PHI@DET","PHI","2","09:25","PP","Porter Martone","Trevor Zegras","Jamie Drysdale"
"2026-04-09","PHI@DET","DET","3","07:01","ES","Patrick Kane","Simon Edvinsson","Moritz Seider"
"2026-04-09","PHI@DET","DET","3","11:39","ES","Dylan Larkin","Moritz Seider","Lucas Raymond"
"2026-04-09","PHI@DET","PHI","3","18:09","ES","Luke Glendening","Denver Barkey","Sean Couturier"
"2026-04-09","PIT@NJD","PIT","1","04:53","ES","Bryan Rust","Egor Chinakhov","Kris Letang"
"2026-04-09","PIT@NJD","NJD","2","09:51","ES","Paul Cotter","Dougie Hamilton","Brian Halonen"
"2026-04-09","PIT@NJD","PIT","2","11:43","ES","Tommy Novak","Evgeni Malkin","Erik Karlsson"
"2026-04-09","PIT@NJD","PIT","2","11:52","ES","Egor Chinakhov","Ryan Shea","Sidney Crosby"
"2026-04-09","PIT@NJD","NJD","2","15:07","ES","Jack Hughes","Jonas Siegenthaler","Connor Brown"
"2026-04-09","PIT@NJD","PIT","3","06:50","ES","Evgeni Malkin","Sidney Crosby","Egor Chinakhov"
"2026-04-09","PIT@NJD","PIT","3","17:00","EN","Erik Karlsson","Parker Wotherspoon","Noel Acciari"
"2026-04-09","WPG@STL","STL","1","04:56","PP","Dylan Holloway","Robert Thomas","Philip Broberg"
"2026-04-09","WPG@STL","WPG","1","09:24","ES","Alex Iafallo","Mark Scheifele","Haydn Fleury"
"2026-04-09","WPG@STL","WPG","2","14:11","ES","Josh Morrissey","Jacob Bryson","Mark Scheifele"
"2026-04-09","WPG@STL","WPG","2","15:51","ES","Jonathan Toews","Cole Perfetti",""
"2026-04-09","WPG@STL","STL","3","13:00","ES","Colton Parayko","Jordan Kyrou","Dylan Holloway"
"2026-04-09","CAR@CHI","CAR","1","00:19","ES","Sean Walker","Nikolaj Ehlers",""
"2026-04-09","CAR@CHI","CHI","1","10:48","ES","Anton Frondell","Louis Crevier",""
"2026-04-09","CAR@CHI","CAR","1","17:10","ES","Logan Stankoven","unassisted",""
"2026-04-09","CAR@CHI","CAR","2","04:08","ES","Logan Stankoven","Taylor Hall","Jackson Blake"
"2026-04-09","CAR@CHI","CAR","2","14:50","ES","Mark Jankowski","Alexander Nikishin","William Carrier"
"2026-04-09","CAR@CHI","CAR","3","05:47","ES","K'Andre Miller","William Carrier",""
"2026-04-09","CAR@CHI","CHI","3","06:09","ES","Anton Frondell","Louis Crevier","Alex Vlasic"
"2026-04-09","CAR@CHI","CAR","3","08:13","ES","Taylor Hall","Shayne Gostisbehere","Logan Stankoven"
"2026-04-09","CAR@CHI","CAR","3","12:51","ES","Mark Jankowski","William Carrier","Nicolas Deslauriers"
"2026-04-09","MIN@DAL","DAL","1","04:26","ES","Wyatt Johnston","Justin Hryckowian","Mikko Rantanen"
"2026-04-09","MIN@DAL","MIN","1","13:02","ES","Quinn Hughes","Mats Zuccarello",""
"2026-04-09","MIN@DAL","MIN","1","19:44","PP","Kirill Kaprizov","Matt Boldy","Mats Zuccarello"
"2026-04-09","MIN@DAL","MIN","2","06:39","PP","Kirill Kaprizov","Matt Boldy","Mats Zuccarello"
"2026-04-09","MIN@DAL","DAL","2","08:03","ES","Colin Blackwell","Esa Lindell",""
"2026-04-09","MIN@DAL","DAL","2","16:16","ES","Cameron Hughes","Colin Blackwell","Oskar Bäck"
"2026-04-09","MIN@DAL","MIN","2","19:49","PP","Ryan Hartman","Jared Spurgeon","Quinn Hughes"
"2026-04-09","MIN@DAL","DAL","3","04:28","ES","Mikko Rantanen","Thomas Harley","Wyatt Johnston"
"2026-04-09","MIN@DAL","DAL","3","10:35","ES","Jason Robertson","Esa Lindell",""
"2026-04-09","CGY@COL","COL","1","18:44","PP","Gabriel Landeskog","Nathan MacKinnon","Martin Necas"
"2026-04-09","CGY@COL","COL","2","15:01","ES","Martin Necas","Nathan MacKinnon","Brent Burns"
"2026-04-09","CGY@COL","CGY","3","17:08","PP","Tyson Gross","Matvei Gridin","Matt Coronato"
"2026-04-09","CGY@COL","COL","3","19:05","EN","Nathan MacKinnon","Martin Necas",""
"2026-04-09","NSH@UTA","UTA","1","14:26","ES","Kailer Yamamoto","Dylan Guenther","Logan Cooley"
"2026-04-09","NSH@UTA","UTA","2","05:35","PP","Nick Schmaltz","Clayton Keller","Logan Cooley"
"2026-04-09","NSH@UTA","UTA","3","03:03","ES","Lawson Crouse","Clayton Keller","Mikhail Sergachev"
"2026-04-09","NSH@UTA","UTA","3","06:05","ES","Dylan Guenther","Clayton Keller","Nick Schmaltz"
"2026-04-09","NSH@UTA","NSH","3","10:22","PP","Erik Haula","Zachary L'Heureux","Brady Skjei"
"2026-04-09","SJS@ANA","ANA","1","02:59","ES","Leo Carlsson","Chris Kreider","Pavel Mintyukov"
"2026-04-09","SJS@ANA","ANA","1","06:20","ES","John Carlson","Mikael Granlund","Pavel Mintyukov"
"2026-04-09","SJS@ANA","ANA","2","05:15","ES","Alex Killorn","Beckett Sennecke",""
"2026-04-09","SJS@ANA","ANA","3","10:31","PP","John Carlson","Troy Terry","Beckett Sennecke"
"2026-04-09","SJS@ANA","SJS","3","12:40","ES","Shakir Mukhamadullin","Tyler Toffoli",""
"2026-04-09","SJS@ANA","ANA","3","14:03","PP","John Carlson","Troy Terry","Mikael Granlund"
"2026-04-09","SJS@ANA","ANA","3","17:32","ES","Frank Vatrano","Mason McTavish",""
"2026-04-09","VGK@SEA","VGK","1","10:04","ES","Mark Stone","Rasmus Andersson","Noah Hanifin"
"2026-04-09","VGK@SEA","VGK","2","00:55","PP","Mark Stone","Jack Eichel","Tomas Hertl"
"2026-04-09","VGK@SEA","SEA","2","17:54","PP","Jared McCann","Vince Dunn","Chandler Stephenson"
"2026-04-09","VGK@SEA","VGK","3","01:11","ES","Brett Howden","Pavel Dorofeyev","Mitch Marner"
"2026-04-09","VGK@SEA","SEA","3","06:11","ES","Berkly Catton","Adam Larsson","Vince Dunn"
"2026-04-09","VGK@SEA","SEA","3","09:16","ES","Bobby McMann","Jordan Eberle",""
"2026-04-09","VGK@SEA","VGK","5","00:00","PP","Mitch Marner","unassisted",""
"2026-04-09","VGK@SEA","SEA","5","00:00","PP","Matty Beniers","unassisted",""
"2026-04-09","VGK@SEA","SEA","5","00:00","PP","Berkly Catton","unassisted",""
"2026-04-09","VAN@LAK","LAK","1","01:29","ES","Adrian Kempe","Brandt Clarke","Artemi Panarin"
"2026-04-09","VAN@LAK","VAN","1","14:17","ES","Marcus Pettersson","Brock Boeser","Liam Ohgren"
"2026-04-09","VAN@LAK","LAK","1","15:48","ES","Joel Armia","Scott Laughton",""
"2026-04-09","VAN@LAK","LAK","2","19:31","ES","Adrian Kempe","Joel Edmundson","Artemi Panarin"
"2026-04-09","VAN@LAK","LAK","3","09:17","ES","Trevor Moore","Alex Laferriere","Mikey Anderson"
