date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-18","OTT@CAR","CAR","2","02:11","ES","Logan Stankoven","Jackson Blake","Taylor Hall"
"2026-04-18","OTT@CAR","CAR","3","07:15","ES","Taylor Hall","Logan Stankoven","Jackson Blake"
"2026-04-18","MIN@DAL","MIN","1","05:35","PP","Joel Eriksson Ek","Matt Boldy","Mats Zuccarello"
"2026-04-18","MIN@DAL","MIN","2","00:56","ES","Kirill Kaprizov","Ryan Hartman","Mats Zuccarello"
"2026-04-18","MIN@DAL","MIN","2","03:28","ES","Ryan Hartman","Brock Faber","Quinn Hughes"
"2026-04-18","MIN@DAL","MIN","2","06:30","ES","Matt Boldy","Kirill Kaprizov","Joel Eriksson Ek"
"2026-04-18","MIN@DAL","DAL","2","15:10","PP","Jason Robertson","Wyatt Johnston","Miro Heiskanen"
"2026-04-18","MIN@DAL","MIN","3","08:13","PP","Joel Eriksson Ek","Kirill Kaprizov","Mats Zuccarello"
"2026-04-18","MIN@DAL","MIN","3","16:52","EN","Matt Boldy","unassisted",""
"2026-04-18","PHI@PIT","PHI","2","09:19","ES","Jamie Drysdale","Trevor Zegras","Denver Barkey"
"2026-04-18","PHI@PIT","PIT","2","15:51","ES","Evgeni Malkin","Tommy Novak","Rickard Rakell"
"2026-04-18","PHI@PIT","PHI","3","10:00","ES","Travis Sanheim","Rasmus Ristolainen","Christian Dvorak"
"2026-04-18","PHI@PIT","PHI","3","17:23","ES","Porter Martone","Travis Konecny",""
"2026-04-18","PHI@PIT","PIT","3","18:59","PP","Bryan Rust","Evgeni Malkin","Erik Karlsson"
