date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-22","PIT@PHI","PIT","1","04:18","PP","Evgeni Malkin","Bryan Rust","Sidney Crosby"
"2026-04-22","PIT@PHI","PHI","2","05:18","PP","Trevor Zegras","Jamie Drysdale","Porter Martone"
"2026-04-22","PIT@PHI","PHI","2","09:06","ES","Rasmus Ristolainen","Noah Juulsen","Sean Couturier"
"2026-04-22","PIT@PHI","PHI","2","11:18","ES","Nick Seeler","Noah Juulsen","Sean Couturier"
"2026-04-22","PIT@PHI","PIT","3","09:39","PP","Erik Karlsson","Rickard Rakell","Tommy Novak"
"2026-04-22","PIT@PHI","PHI","3","12:30","PP","Noah Cates","Trevor Zegras","Jamie Drysdale"
"2026-04-22","PIT@PHI","PHI","3","18:48","EN","Owen Tippett","Noah Cates",""
"2026-04-22","DAL@MIN","DAL","1","01:25","PP","Mikko Rantanen","Jason Robertson","Matt Duchene"
"2026-04-22","DAL@MIN","DAL","1","13:48","ES","Jason Robertson","Matt Duchene",""
"2026-04-22","DAL@MIN","MIN","1","18:20","PP","Marcus Johansson","Bobby Brink",""
"2026-04-22","DAL@MIN","MIN","2","05:00","ES","Joel Eriksson Ek","Matt Boldy","Quinn Hughes"
"2026-04-22","DAL@MIN","MIN","2","17:25","ES","Michael McCarron","Nick Foligno","Jonas Brodin"
"2026-04-22","DAL@MIN","DAL","3","10:18","PP","Matt Duchene","Mikko Rantanen","Wyatt Johnston"
"2026-04-22","DAL@MIN","DAL","5","12:10","OT","Wyatt Johnston","Miro Heiskanen","Jason Robertson"
"2026-04-22","ANA@EDM","EDM","1","08:58","ES","Leon Draisaitl","Vasily Podkolzin","Jake Walman"
"2026-04-22","ANA@EDM","ANA","1","12:48","PP","Cutter Gauthier","Alex Killorn",""
"2026-04-22","ANA@EDM","ANA","2","02:44","ES","Jacob Trouba","Jackson LaCombe","Troy Terry"
"2026-04-22","ANA@EDM","ANA","2","05:35","PP","Alex Killorn","Cutter Gauthier","Jackson LaCombe"
"2026-04-22","ANA@EDM","EDM","2","11:46","ES","Connor Murphy","Leon Draisaitl","Kasperi Kapanen"
"2026-04-22","ANA@EDM","ANA","2","15:50","SH","Ryan Poehling","Alex Killorn",""
"2026-04-22","ANA@EDM","EDM","2","17:48","ES","Zach Hyman","Mattias Ekholm","Ryan Nugent-Hopkins"
"2026-04-22","ANA@EDM","EDM","3","13:51","ES","Josh Samanski","Jack Roslovic","Matt Savoie"
"2026-04-22","ANA@EDM","ANA","3","15:08","ES","Cutter Gauthier","unassisted",""
"2026-04-22","ANA@EDM","ANA","3","18:50","EN","Ryan Poehling","Jackson LaCombe",""
