date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-12","PIT@WSH","WSH","2","12:22","ES","Trevor van Riemsdyk","Pierre-Luc Dubois","Connor McMichael"
"2026-04-12","PIT@WSH","WSH","3","15:50","ES","Connor McMichael","Ryan Leonard","Martin Fehérváry"
"2026-04-12","PIT@WSH","WSH","3","17:16","EN","Connor McMichael","Alex Ovechkin","Martin Fehérváry"
"2026-04-12","MTL@NYI","MTL","2","15:56","ES","Nick Suzuki","Juraj Slafkovský","Lane Hutson"
"2026-04-12","MTL@NYI","MTL","2","16:24","PP","Ivan Demidov","Nick Suzuki","Lane Hutson"
"2026-04-12","MTL@NYI","MTL","2","16:51","ES","Alex Newhook","Zachary Bolduc","David Reinbacher"
"2026-04-12","MTL@NYI","NYI","3","08:45","ES","Casey Cizikas","Scott Mayfield","Ryan Pulock"
"2026-04-12","MTL@NYI","MTL","3","19:45","ES","Zachary Bolduc","Alex Newhook","Kirby Dach"
"2026-04-12","BOS@CBJ","CBJ","1","03:59","ES","Mason Marchment","Dante Fabbro","Boone Jenner"
"2026-04-12","BOS@CBJ","BOS","1","10:31","ES","Sean Kuraly","Mark Kastelic","Henri Jokiharju"
"2026-04-12","BOS@CBJ","BOS","2","19:41","ES","Henri Jokiharju","Sean Kuraly","James Hagens"
"2026-04-12","BOS@CBJ","CBJ","3","01:27","ES","Adam Fantilli","Danton Heinen",""
"2026-04-12","BOS@CBJ","BOS","3","10:22","ES","Mark Kastelic","Sean Kuraly","Jordan Harris"
"2026-04-12","OTT@NJD","NJD","1","05:12","ES","Nico Hischier","Dawson Mercer","Timo Meier"
"2026-04-12","OTT@NJD","NJD","1","14:51","SH","Connor Brown","Jack Hughes",""
"2026-04-12","OTT@NJD","OTT","2","07:42","ES","Michael Amadio","Artem Zub","Nick Cousins"
"2026-04-12","OTT@NJD","OTT","2","10:25","PP","Shane Pinto","Claude Giroux","Drake Batherson"
"2026-04-12","OTT@NJD","OTT","2","14:14","ES","Fabian Zetterlund","unassisted",""
"2026-04-12","OTT@NJD","NJD","3","12:28","SH","Dawson Mercer","Nico Hischier",""
"2026-04-12","OTT@NJD","NJD","4","03:18","OT","Nico Hischier","Jack Hughes","Dougie Hamilton"
"2026-04-12","VAN@ANA","ANA","1","03:41","ES","Cutter Gauthier","Chris Kreider","Alex Killorn"
"2026-04-12","VAN@ANA","VAN","1","10:49","ES","Curtis Douglas","Aatu Räty","Kirill Kudryavtsev"
"2026-04-12","VAN@ANA","VAN","1","14:37","PP","Jake DeBrusk","Marco Rossi","Filip Hronek"
"2026-04-12","VAN@ANA","VAN","3","04:28","SH","Brock Boeser","unassisted",""
"2026-04-12","VAN@ANA","ANA","3","05:05","PP","Cutter Gauthier","Jackson LaCombe","Mason McTavish"
"2026-04-12","VAN@ANA","ANA","3","06:56","ES","Leo Carlsson","Chris Kreider",""
"2026-04-12","VAN@ANA","VAN","4","04:50","OT","Marco Rossi","Zeev Buium","Brock Boeser"
"2026-04-12","UTA@CGY","CGY","1","07:06","ES","Matt Coronato","Morgan Frost","Brayden Pachal"
"2026-04-12","UTA@CGY","CGY","1","08:27","ES","Connor Zary","Zayne Parekh","Zach Whitecloud"
"2026-04-12","UTA@CGY","CGY","3","06:01","ES","Mikael Backlund","Blake Coleman","Brayden Pachal"
"2026-04-12","UTA@CGY","CGY","3","09:10","ES","Brayden Pachal","Aydar Suniev","Olli Määttä"
"2026-04-12","UTA@CGY","UTA","3","11:20","ES","Lawson Crouse","Clayton Keller","MacKenzie Weegar"
