date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-20","PHI@PIT","PHI","2","13:39","ES","Porter Martone","Travis Konecny","Christian Dvorak"
"2026-04-20","PHI@PIT","PHI","2","17:43","SH","Garnet Hathaway","Owen Tippett",""
"2026-04-20","PHI@PIT","PHI","3","17:55","EN","Luke Glendening","Sean Couturier","Garnet Hathaway"
"2026-04-20","OTT@CAR","CAR","1","06:31","PP","Logan Stankoven","Taylor Hall","Jackson Blake"
"2026-04-20","OTT@CAR","CAR","2","07:50","ES","Sebastian Aho","Jordan Staal",""
"2026-04-20","OTT@CAR","OTT","2","10:47","ES","Drake Batherson","Jake Sanderson",""
"2026-04-20","OTT@CAR","OTT","2","16:40","ES","Dylan Cozens","Ridly Greig","Jake Sanderson"
"2026-04-20","OTT@CAR","CAR","5","13:53","OT","Jordan Martinook","Nikolaj Ehlers","K'Andre Miller"
"2026-04-20","MIN@DAL","DAL","1","08:58","ES","Wyatt Johnston","Nils Lundkvist","Oskar Bäck"
"2026-04-20","MIN@DAL","MIN","1","11:33","ES","Brock Faber","Quinn Hughes","Kirill Kaprizov"
"2026-04-20","MIN@DAL","DAL","2","04:02","PP","Matt Duchene","Mikko Rantanen","Miro Heiskanen"
"2026-04-20","MIN@DAL","DAL","3","07:09","ES","Jason Robertson","Nils Lundkvist","Matt Duchene"
"2026-04-20","MIN@DAL","MIN","3","09:47","ES","Brock Faber","Joel Eriksson Ek","Quinn Hughes"
"2026-04-20","MIN@DAL","DAL","3","19:10","EN","Wyatt Johnston","Justin Hryckowian","Esa Lindell"
"2026-04-20","ANA@EDM","EDM","1","17:21","ES","Jason Dickinson","Jake Walman","Ty Emberson"
"2026-04-20","ANA@EDM","EDM","1","18:21","ES","Kasperi Kapanen","Leon Draisaitl","Vasily Podkolzin"
"2026-04-20","ANA@EDM","ANA","2","00:19","ES","Troy Terry","Leo Carlsson","Jackson LaCombe"
"2026-04-20","ANA@EDM","ANA","2","04:38","ES","Leo Carlsson","Troy Terry","Chris Kreider"
"2026-04-20","ANA@EDM","ANA","2","14:29","PP","Troy Terry","John Carlson","Mikael Granlund"
"2026-04-20","ANA@EDM","EDM","3","11:30","ES","Jason Dickinson","Mattias Ekholm","Jake Walman"
"2026-04-20","ANA@EDM","EDM","3","18:06","ES","Kasperi Kapanen","Vasily Podkolzin","Leon Draisaitl"
